epoch,loss,scale16_output_loss,scale16_output_mse,scale16_output_psnr_metric,scale16_output_ssim_metric,scale32_output_loss,scale32_output_mse,scale32_output_psnr_metric,scale32_output_ssim_metric,val_loss,val_scale16_output_loss,val_scale16_output_mse,val_scale16_output_psnr_metric,val_scale16_output_ssim_metric,val_scale32_output_loss,val_scale32_output_mse,val_scale32_output_psnr_metric,val_scale32_output_ssim_metric
47,0.0026209870151554546,0.0008723258,0.00087232597,31.845106,0.9775152,0.0017486612,0.0017486616,29.119913,0.9203027,0.002716292627155781,0.0007973045576363802,0.0007973044994287193,32.463130950927734,0.9779592752456665,0.001736402977257967,0.0017364032100886106,29.41301727294922,0.9197070598602295
48,0.0027777304065724215,0.00094129087,0.0009412911,31.652987,0.97577554,0.0018364397,0.0018364397,28.944998,0.9169075,0.005249731242656708,0.0019136915216222405,0.001913691870868206,27.95138931274414,0.9533576965332031,0.0031824440229684114,0.0031824440229684114,26.004404067993164,0.8628271222114563
49,0.002811545467314621,0.0009607203,0.00096072024,31.412497,0.9756675,0.0018508248,0.0018508243,28.82812,0.91672665,0.0025848527438938618,0.0008613705867901444,0.0008613705867901444,32.1931266784668,0.9764722585678101,0.0018515238771215081,0.0018515237607061863,28.922718048095703,0.9163311123847961
50,0.002577886637300253,0.000855245,0.0008552449,31.865175,0.97817683,0.0017226414,0.0017226416,29.132318,0.9223059,0.00283190724439919,0.0009316291543655097,0.0009316290379501879,31.716350555419922,0.9756621718406677,0.002076936885714531,0.002076936885714531,28.38752555847168,0.9134609699249268
51,0.0025353525998070836,0.0008363416,0.0008363416,31.985762,0.9784025,0.0016990115,0.0016990114,29.2244,0.922684,0.003768324153497815,0.0011335042072460055,0.0011335044400766492,31.292186737060547,0.9744155406951904,0.002478000009432435,0.0024780002422630787,27.891708374023438,0.9106939435005188
52,0.0025338561537986,0.00083721965,0.0008372194,32.014168,0.97844243,0.0016966363,0.0016966371,29.252094,0.922769,0.004219593480229378,0.0015022895531728864,0.0015022896695882082,30.738819122314453,0.9621756672859192,0.003100087633356452,0.003100086934864521,26.709823608398438,0.8761088252067566
53,0.0025427969886610904,0.0008413186,0.00084131834,31.957333,0.97841483,0.0017014779,0.0017014786,29.229208,0.92262274,0.0031439727172255516,0.0009884611936286092,0.0009884614264592528,31.039873123168945,0.9767382740974426,0.001801930833607912,0.001801930833607912,28.928010940551758,0.9197753667831421
54,0.002514698704859863,0.00082923693,0.0008292366,32.017807,0.97868603,0.0016854616,0.0016854617,29.272879,0.9230764,0.0022750524803996086,0.0008074680808931589,0.0008074680808931589,32.7305908203125,0.9774242639541626,0.0017864482942968607,0.0017864485271275043,29.421770095825195,0.9166703224182129
55,0.002507449625991285,0.000824595,0.0008245945,32.023087,0.9788898,0.0016828551,0.0016828559,29.265594,0.9236855,0.0027383198030292988,0.0007453709258697927,0.0007453708676621318,32.706016540527344,0.9786505699157715,0.0017010376323014498,0.0017010376323014498,29.44684410095215,0.9212320446968079
56,0.0024988043471239505,0.00082488393,0.00082488375,32.045433,0.97869104,0.0016739208,0.0016739205,29.314508,0.9234631,0.0026110890321433544,0.0009198667830787599,0.0009198666666634381,32.46904754638672,0.9766724109649658,0.0018994264537468553,0.0018994262209162116,29.254047393798828,0.9155914783477783
57,0.0024532205037151775,0.0008055207,0.00080552086,32.142406,0.97924703,0.0016476997,0.0016476993,29.390814,0.9246889,0.0021551239769905806,0.0007250069174915552,0.0007250068592838943,32.94460678100586,0.9792159795761108,0.0017443116521462798,0.0017443118849769235,29.29601287841797,0.9219450354576111
58,0.002758688444737345,0.00095445366,0.0009544534,31.53288,0.97597873,0.0018042354,0.0018042347,29.044434,0.91825116,0.0030206069350242615,0.000990755041129887,0.000990755157545209,31.52111053466797,0.9755579233169556,0.0018907724879682064,0.0018907722551375628,29.042036056518555,0.9127274751663208
59,0.0024398646391152095,0.0008019778,0.00080197793,32.186176,0.9788354,0.0016378865,0.0016378865,29.450373,0.92427367,0.0023992464412003756,0.0007755948463454843,0.0007755949045531452,32.6290168762207,0.9787420034408569,0.0016902443021535873,0.0016902439529076219,29.58585548400879,0.9219281673431396
60,0.0024438295086535314,0.00080560904,0.0008056088,32.14361,0.97935945,0.0016382207,0.0016382205,29.423578,0.92524964,0.0028102381620556116,0.00084304204210639,0.00084304204210639,32.06402587890625,0.9785193800926208,0.0018549652304500341,0.001854965346865356,28.826997756958008,0.9197568297386169
61,0.002726833336831381,0.00093625544,0.000936255,31.691385,0.9762431,0.0017905786,0.0017905791,29.110874,0.91875607,0.002339119091629982,0.0007965744007378817,0.0007965744589455426,32.69997024536133,0.9774482846260071,0.0017719842726364732,0.0017719842726364732,29.283533096313477,0.9187281131744385
62,0.0024369659779282906,0.00080483657,0.00080483616,32.145542,0.9793313,0.0016321287,0.0016321294,29.414938,0.9254872,0.002583265770226717,0.0007847663364373147,0.0007847663364373147,32.68134689331055,0.9779320359230042,0.0017089954344555736,0.0017089953180402517,29.442964553833008,0.9209577441215515
63,0.002471132498467341,0.00081989664,0.0008198965,32.156197,0.9785559,0.0016512353,0.0016512352,29.466944,0.92368907,0.002822509966790676,0.0008125162567012012,0.0008125161402858794,32.59672164916992,0.9775541424751282,0.0018097128486260772,0.0018097126157954335,29.297029495239258,0.9205294847488403
64,0.0023933065585636844,0.000785927,0.0007859268,32.24733,0.97959375,0.0016073798,0.0016073802,29.52495,0.92608654,0.002277988474816084,0.0007086789701133966,0.0007086790283210576,33.25887680053711,0.9795272946357727,0.0015884758904576302,0.0015884761232882738,30.030733108520508,0.923426628112793
65,0.002359241993787388,0.00077142596,0.0007714259,32.35601,0.97991925,0.001587816,0.0015878157,29.604645,0.9267251,0.0030038240365684032,0.0010082665830850601,0.001008266699500382,32.14931106567383,0.9746810793876648,0.002241704612970352,0.002241704612970352,28.710485458374023,0.9060903787612915
66,0.0023705992704102148,0.00077423063,0.00077423087,32.317833,0.9798732,0.0015963683,0.0015963684,29.571064,0.92668986,0.0024386218283325434,0.0007336793350987136,0.0007336793933063745,32.90433883666992,0.9791191220283508,0.0017175024840980768,0.0017175024840980768,29.365966796875,0.9204429984092712
67,0.002431192681348572,0.00080239127,0.0008023913,32.193104,0.97938854,0.0016288016,0.0016288019,29.491867,0.92551273,0.0028660413809120655,0.0009132971754297614,0.0009132972918450832,31.99392318725586,0.9778501987457275,0.0017840074142441154,0.0017840075306594372,29.29465675354004,0.9191445708274841
68,0.0023448484278439236,0.0007669797,0.0007669794,32.339226,0.98009694,0.0015778695,0.0015778688,29.618603,0.9272647,0.0028149958234280348,0.0008405892294831574,0.0008405892294831574,32.52456283569336,0.9780484437942505,0.001829605782404542,0.0018296058988198638,29.318532943725586,0.918540894985199
69,0.0023130577942356467,0.00075170514,0.000751705,32.454792,0.9801357,0.0015613528,0.0015613532,29.693819,0.92717344,0.0030177729204297066,0.0009701268863864243,0.0009701268281787634,31.261157989501953,0.9781624674797058,0.0020021446980535984,0.002002144930884242,28.541399002075195,0.9191567301750183
