epoch,loss,scale16_output_loss,scale16_output_mse,scale16_output_psnr_metric,scale16_output_ssim_metric,scale32_output_loss,scale32_output_mse,scale32_output_psnr_metric,scale32_output_ssim_metric,val_loss,val_scale16_output_loss,val_scale16_output_mse,val_scale16_output_psnr_metric,val_scale16_output_ssim_metric,val_scale32_output_loss,val_scale32_output_mse,val_scale32_output_psnr_metric,val_scale32_output_ssim_metric
49,0.0026645555067807435,0.00090988574,0.00090988574,31.625652,0.9771499,0.0017546691,0.00175467,29.058403,0.920483,0.0027844728901982307,0.0008842613315209746,0.0008842612733133137,31.7227783203125,0.9764874577522278,0.0019693132489919662,0.0019693132489919662,28.343225479125977,0.9152231216430664
50,0.002674495764852812,0.00091397803,0.00091397815,31.601414,0.9772062,0.001760518,0.0017605182,29.047052,0.9203244,0.0022203405387699604,0.000807364413049072,0.000807364413049072,32.45314025878906,0.977287232875824,0.001695361570455134,0.001695361454039812,29.463945388793945,0.9196260571479797
51,0.0028110217000357806,0.0009770796,0.0009770794,31.386095,0.97552836,0.0018339421,0.0018339414,28.90331,0.9174173,0.0027103470638394356,0.0008981096325442195,0.0008981093997135758,32.112239837646484,0.9766319394111633,0.001795863383449614,0.0017958631506189704,29.2384033203125,0.9173681139945984
52,0.002710915074373285,0.0009337104,0.00093370996,31.531569,0.97654164,0.0017772039,0.0017772049,29.023441,0.91967845,0.0031764679588377476,0.0009697998757474124,0.0009698001085780561,31.850845336914062,0.9721286296844482,0.0018344729905948043,0.0018344728741794825,29.30230140686035,0.913787305355072
53,0.0026595234676885108,0.00091379415,0.00091379386,31.608631,0.9769684,0.0017457295,0.0017457294,29.101759,0.92078394,0.0024835774675011635,0.000774821441154927,0.0007748215575702488,32.5977668762207,0.9779109358787537,0.001654580351896584,0.0016545800026506186,29.707448959350586,0.9203033447265625
54,0.002619697580424448,0.00089518615,0.0008951868,31.721056,0.97765416,0.0017245114,0.0017245109,29.183544,0.92176276,0.002700760029256344,0.000847762858029455,0.0008477629162371159,32.0250244140625,0.9774304628372192,0.0017817070474848151,0.0017817069310694933,29.083171844482422,0.9170131087303162
55,0.002613037240225822,0.0008886382,0.000888638,31.742865,0.9776077,0.0017243997,0.0017244,29.18341,0.9216747,0.0023781564086675644,0.0008401362574659288,0.0008401361992582679,32.24064254760742,0.9779966473579407,0.0017826647963374853,0.001782665029168129,29.18506622314453,0.9201798439025879
56,0.0025949745904654264,0.0008846452,0.00088464515,31.747862,0.97780824,0.0017103294,0.0017103286,29.21542,0.92243046,0.002766137942671776,0.0009096622816286981,0.0009096621652133763,31.592493057250977,0.9775173664093018,0.001771070878021419,0.0017710706451907754,29.157970428466797,0.918251633644104
57,0.0025892386958003043,0.0008808366,0.0008808364,31.780941,0.9778098,0.0017084016,0.0017084017,29.229998,0.92174,0.0024372749030590057,0.0008549977792426944,0.0008549975464120507,32.272342681884766,0.9763827919960022,0.0018354678759351373,0.001835467992350459,29.003273010253906,0.9142656922340393
58,0.002574714773024122,0.00087722915,0.0008772288,31.8452,0.97774243,0.0016974852,0.0016974849,29.295738,0.92239785,0.0026480071246623993,0.000935436284635216,0.000935436284635216,32.10905456542969,0.975772500038147,0.0018723203102126718,0.001872320077382028,29.057180404663086,0.9171628355979919
59,0.0025486311657975116,0.0008658972,0.0008658974,31.863075,0.9781464,0.0016827335,0.0016827337,29.328545,0.9231563,0.002543073147535324,0.0008370050345547497,0.0008370050927624106,32.3004264831543,0.9767366051673889,0.0017256081337109208,0.0017256081337109208,29.397380828857422,0.9194703698158264
60,0.0025593804614618423,0.00087391824,0.00087391824,31.808178,0.9779199,0.0016854624,0.0016854621,29.298689,0.92290336,0.002832853700965643,0.0010459368349984288,0.0010459369514137506,30.965068817138672,0.9750234484672546,0.0019518279004842043,0.0019518282497301698,28.637958526611328,0.9184797406196594
61,0.0025355933203051488,0.00086241483,0.00086241466,31.852266,0.9781964,0.0016731783,0.0016731786,29.33386,0.92336166,0.002299256157130003,0.0007572994800284505,0.0007572994800284505,32.80086898803711,0.9786195755004883,0.00168910704087466,0.0016891069244593382,29.51665687561035,0.9195417165756226
62,0.002529346471031507,0.00085829257,0.00085829245,31.895094,0.9784633,0.0016710542,0.0016710544,29.334736,0.9238451,0.0027508093044161797,0.0008665896020829678,0.0008665896020829678,31.610578536987305,0.9774741530418396,0.0017225504852831364,0.0017225506016984582,29.201814651489258,0.9206580519676208
63,0.002532166427311798,0.00085946353,0.00085946376,31.870527,0.9784639,0.0016727028,0.0016727031,29.32616,0.92349046,0.002597962273284793,0.000816561107058078,0.000816561165265739,32.25094985961914,0.9783501029014587,0.0016938024200499058,0.001693802885711193,29.537240982055664,0.9198880195617676
64,0.002505361373769119,0.00084740686,0.0008474065,31.970503,0.9786281,0.0016579548,0.0016579551,29.397436,0.9242662,0.0025771907530725002,0.0007837090524844825,0.0007837088196538389,32.222511291503906,0.9789679050445557,0.0017334420699626207,0.001733441953547299,29.1484375,0.922430157661438
65,0.0024893174859850356,0.0008421443,0.0008421446,31.961298,0.97875375,0.0016471734,0.001647172,29.403309,0.9248296,0.003110264427959919,0.0011152320075780153,0.001115232240408659,31.88714599609375,0.9707651734352112,0.0017192915547639132,0.0017192913219332695,29.40213966369629,0.9163373708724976
